#Gaia_G_mag LSST_U_Mag LSST_G_Mag LSST_R_Mag LSST_I_Mag LSST_Z_Mag LSST_Y4_Mag Temperature Gravity Metallicity a0
-53.7887973345 3.78014978194 1.07569436516 -0.0693357733724 -0.592423909903 -0.86746678152 -0.78216204268 4000.0 3.5 -0.0 0.0
-53.6646699605 3.8180270779 1.09204876201 -0.0659328006298 -0.597267559751 -0.877315638167 -0.794968667634 4000.0 3.5 -0.0 0.1
-53.5406149834 3.85591579777 1.10844984866 -0.0624665222478 -0.60204254051 -0.887093557229 -0.807703612699 4000.0 3.5 -0.0 0.2
-53.4166318911 3.89381431467 1.12489718165 -0.0589374453999 -0.606749357082 -0.896801052864 -0.820367379743 4000.0 3.5 -0.0 0.3
-53.2927201736 3.93172097779 1.14139032345 -0.0553460666083 -0.611388523125 -0.906438632647 -0.832960489628 4000.0 3.5 -0.0 0.4
-53.1688793232 3.96963408108 1.15792883716 -0.0516928888639 -0.615960542419 -0.916006800608 -0.845483435978 4000.0 3.5 -0.0 0.5
-53.0451088347 4.00755188882 1.17451229129 -0.0479784096025 -0.62046591727 -0.925506065577 -0.857936722468 4000.0 3.5 -0.0 0.6
-52.9214082048 4.04547259471 1.19114025158 -0.0442031211966 -0.624905148929 -0.934936926676 -0.870320855178 4000.0 3.5 -0.0 0.7
-52.7977769331 4.08339437132 1.2078122916 -0.04036751409 -0.629278738608 -0.94429988513 -0.882636324601 4000.0 3.5 -0.0 0.8
-52.6742145228 4.12131532368 1.22452798223 -0.0364720812248 -0.633587178193 -0.953595434608 -0.894883628847 4000.0 3.5 -0.0 0.9
-53.8256658561 3.53508322232 1.03407739614 -0.0956404689908 -0.572207678239 -0.820065337828 -0.730806543645 4000.0 3.5 -0.5 0.0
-53.7012841042 3.57343655284 1.05019874104 -0.0925080896058 -0.577254321095 -0.830166541235 -0.743866213242 4000.0 3.5 -0.5 0.1
-53.5769755863 3.61180612475 1.06636775644 -0.0893116054846 -0.582231515092 -0.840195977454 -0.756853374846 4000.0 3.5 -0.5 0.2
-53.4527397889 3.65019054025 1.08258399772 -0.0860515184186 -0.587139767038 -0.85015415388 -0.76976853975 4000.0 3.5 -0.5 0.3
-53.3285762061 3.68858835797 1.09884703432 -0.0827283323829 -0.591979582886 -0.860041573288 -0.782612209493 4000.0 3.5 -0.5 0.4
-53.2044843305 3.72699811122 1.11515642752 -0.0793425383552 -0.596751466811 -0.869858749433 -0.795384889613 4000.0 3.5 -0.5 0.5
-53.0804636591 3.76541828663 1.13151174722 -0.0758946347072 -0.601455920399 -0.879606176073 -0.808087079268 4000.0 3.5 -0.5 0.6
-52.9565136921 3.80384734624 1.14791256848 -0.0723851130475 -0.606093444085 -0.889284356611 -0.820719273969 4000.0 3.5 -0.5 0.7
-52.8326339295 3.84228369607 1.16435845974 -0.0688144611339 -0.610664533992 -0.898893788416 -0.833281969442 4000.0 3.5 -0.5 0.8
-52.7088238771 3.88072571062 1.18084900123 -0.0651831692277 -0.6151696823 -0.908434966354 -0.845775661921 4000.0 3.5 -0.5 0.9
-53.8487129587 3.31398098388 1.00143709571 -0.0985269257517 -0.563387679825 -0.801505690336 -0.711032893612 4000.0 3.5 -1.0 0.0
-53.724198589 3.35253187905 1.01743757062 -0.0955488893381 -0.568539592652 -0.811739110955 -0.724225019559 4000.0 3.5 -1.0 0.1
-53.5997585138 3.39110417759 1.0334867351 -0.0925057272934 -0.573621027319 -0.821899704465 -0.737343584435 4000.0 3.5 -1.0 0.2
-53.4753922099 3.42969663353 1.04958414108 -0.0893979508417 -0.578632506813 -0.831987988669 -0.750389108154 4000.0 3.5 -1.0 0.3
-53.3510991585 3.46830797577 1.06572934325 -0.0862260686847 -0.583574549581 -0.842004482311 -0.763362105119 4000.0 3.5 -1.0 0.4
-53.2268788406 3.50693690058 1.08192190021 -0.0829905930428 -0.588447666806 -0.851949700353 -0.776263092199 4000.0 3.5 -1.0 0.5
-53.1027307445 3.54558207984 1.09816137382 -0.0796920260295 -0.593252373631 -0.861824160083 -0.789092577245 4000.0 3.5 -1.0 0.6
-52.978654358 3.58424215557 1.11444732777 -0.0763308705057 -0.597989182149 -0.871628366284 -0.80185106819 4000.0 3.5 -1.0 0.7
-52.8546491705 3.6229157313 1.13077932958 -0.0729076288606 -0.602658596206 -0.881362828946 -0.814539075475 4000.0 3.5 -1.0 0.8
-52.7307146767 3.6616013733 1.14715694541 -0.0694227951083 -0.607261122172 -0.891028056855 -0.827157096991 4000.0 3.5 -1.0 0.9
-53.8648177178 3.15349668969 0.973551500969 -0.0918350704667 -0.558701758831 -0.797453423134 -0.706443155463 4000.0 3.5 -1.5 0.0
-53.7402238457 3.19192917853 0.9894895729 -0.0889464426853 -0.5639269995 -0.807766026263 -0.719715043989 4000.0 3.5 -1.5 0.1
-53.6157054884 3.23038814714 1.00547733895 -0.0859914866627 -0.569080555584 -0.818004579846 -0.732912154976 4000.0 3.5 -1.5 0.2
-53.4912621074 3.26887244488 1.02151434263 -0.0829707341611 -0.574162962062 -0.828169620729 -0.746035023934 4000.0 3.5 -1.5 0.3
-53.366893167 3.30738091278 1.03760012445 -0.0798847080868 -0.579174754193 -0.838261685546 -0.759084187813 4000.0 3.5 -1.5 0.4
-53.2425981339 3.3459123541 1.05373423448 -0.0767339353375 -0.584116463038 -0.848281303218 -0.772060168243 4000.0 3.5 -1.5 0.5
-53.118376478 3.38446555652 1.06991621908 -0.0735189346638 -0.588988617576 -0.858229003689 -0.784963495621 4000.0 3.5 -1.5 0.6
-52.9942276714 3.4230392747 1.08614563359 -0.0702402245622 -0.593791743644 -0.868105315256 -0.797794692977 4000.0 3.5 -1.5 0.7
-52.870151191 3.46163223635 1.10242202793 -0.0668983222923 -0.598526361307 -0.877910758385 -0.810554284876 4000.0 3.5 -1.5 0.8
-52.7461465131 3.50024314595 1.11874496515 -0.0634937378264 -0.603192994664 -0.88764585508 -0.823242787636 4000.0 3.5 -1.5 0.9
